day_of_week,hour_of_day,mean_pickup_count
1,0,5.172053231939164
1,1,5.327946768060836
1,2,5.0494296577946765
1,3,3.6188212927756656
1,4,1.938212927756654
1,5,0.9477186311787072
1,6,0.8365019011406845
1,7,0.8859315589353612
1,8,0.8954372623574145
1,9,1.2281368821292775
1,10,1.855513307984791
1,11,2.3697718631178706
1,12,2.9344106463878328
1,13,3.370722433460076
1,14,3.536121673003802
1,15,3.6520912547528517
1,16,3.8136882129277567
1,17,3.3811787072243344
1,18,3.2043726235741445
1,19,2.915399239543726
1,20,2.5218631178707223
1,21,2.115019011406844
1,22,1.8992395437262357
1,23,1.3051330798479088
