day_of_week,hour_of_day,mean_pickup_count
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
1,12,0.0
1,13,0.0
1,14,0.0
1,15,0.0
1,16,0.0
1,17,0.0
1,18,0.0
1,19,0.0
1,20,0.0
1,21,0.0
1,22,0.0
1,23,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
2,12,0.0
2,13,0.0
2,14,0.0
2,15,0.0
2,16,0.0
2,17,0.0
2,18,0.0
2,19,0.0
2,20,0.0
2,21,0.0
2,22,0.0
2,23,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
3,12,0.0
3,13,0.0
3,14,0.0
3,15,0.0
3,16,0.0
3,17,0.0
3,18,0.0
3,19,0.0
3,20,0.0
3,21,0.0
3,22,0.0
3,23,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
4,12,0.0
4,13,0.0
4,14,0.0
4,15,0.0
4,16,0.0
4,17,0.0
4,18,0.0
4,19,0.0
4,20,0.0
4,21,0.0
4,22,0.0
4,23,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,0.0
5,11,0.0
5,12,0.0
5,13,0.0
5,14,0.0
5,15,0.0
5,16,0.0
5,17,0.0
5,18,0.0
5,19,0.0
5,20,0.0
5,21,0.0
5,22,0.0
5,23,0.004990494296577947
6,0,1.079467680608365
6,1,0.9134980988593155
6,2,0.656083650190114
6,3,0.4859315589353612
6,4,0.34638783269961976
6,5,0.16254752851711027
6,6,0.16178707224334601
6,7,0.279467680608365
6,8,0.4347908745247148
6,9,0.7057034220532319
6,10,0.9281368821292776
6,11,1.0553231939163499
6,12,1.1846007604562738
6,13,1.2304182509505703
6,14,1.2716730038022814
6,15,1.3404942965779467
6,16,1.3749049429657794
6,17,1.4034220532319392
6,18,1.3868821292775666
6,19,1.2423954372623573
6,20,1.0849809885931558
6,21,1.1422053231939164
6,22,1.200380228136882
6,23,0.9541825095057034
7,0,0.9152091254752852
7,1,1.302851711026616
7,2,0.4311787072243346
7,3,0.25779467680608364
7,4,0.17870722433460076
7,5,0.15779467680608364
7,6,0.1849809885931559
7,7,0.28269961977186314
7,8,0.38041825095057036
7,9,0.585171102661597
7,10,0.7306083650190114
7,11,0.9186311787072243
7,12,1.0653992395437262
7,13,1.1564638783269963
7,14,1.246768060836502
7,15,1.1889733840304182
7,16,1.2258555133079847
7,17,1.1496197718631178
7,18,1.1903041825095058
7,19,0.29923954372623573
7,20,0.0
7,21,0.0
7,22,0.0
7,23,0.0
