day_of_week,hour_of_day,mean_pickup_count
1,0,5.172053231939164
1,1,5.327946768060836
1,2,5.0494296577946765
1,3,3.6188212927756656
1,4,1.938212927756654
1,5,0.9477186311787072
1,6,0.8365019011406845
1,7,0.8859315589353612
1,8,0.8954372623574145
1,9,1.2281368821292775
1,10,1.855513307984791
1,11,2.3697718631178706
1,12,2.9344106463878328
1,13,3.370722433460076
1,14,3.536121673003802
1,15,3.6520912547528517
1,16,3.8136882129277567
1,17,3.3811787072243344
1,18,3.2043726235741445
1,19,2.915399239543726
1,20,2.5218631178707223
1,21,2.115019011406844
1,22,1.8992395437262357
1,23,1.3051330798479088
2,0,0.7899239543726235
2,1,0.344106463878327
2,2,0.20627376425855512
2,3,0.19011406844106463
2,4,0.21482889733840305
2,5,0.5636882129277566
2,6,1.2081749049429658
2,7,2.447718631178707
2,8,3.17680608365019
2,9,3.5636882129277567
2,10,3.7728136882129277
2,11,4.11787072243346
2,12,4.224334600760456
2,13,4.328897338403042
2,14,4.73574144486692
2,15,4.909695817490494
2,16,4.800380228136882
2,17,4.903041825095057
2,18,4.75
2,19,3.8393536121673004
2,20,3.220532319391635
2,21,3.3155893536121672
2,22,2.4866920152091256
2,23,1.7157794676806084
3,0,1.0579847908745248
3,1,0.40874524714828897
3,2,0.24334600760456274
3,3,0.15399239543726237
3,4,0.19011406844106463
3,5,0.5456273764258555
3,6,1.2984790874524714
3,7,2.3422053231939164
3,8,3.3450570342205324
3,9,3.91254752851711
3,10,4.019011406844107
3,11,4.32319391634981
3,12,4.5408745247148286
3,13,4.830798479087452
3,14,5.1254752851711025
3,15,5.1283269961977185
3,16,5.2005703422053235
3,17,5.188212927756654
3,18,0.1359315589353612
3,19,0.0
3,20,0.0
3,21,0.0
3,22,0.0009505703422053232
3,23,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
4,12,0.0
4,13,0.0
4,14,0.0
4,15,0.0
4,16,0.0
4,17,0.0
4,18,0.0
4,19,0.0
4,20,0.0
4,21,0.0
4,22,0.0
4,23,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,0.0
5,11,0.0
5,12,0.0
5,13,0.0
5,14,0.0
5,15,0.0
5,16,0.0
5,17,0.0
5,18,0.0
5,19,0.0
5,20,0.0
5,21,0.0
5,22,0.0
5,23,0.0
6,0,0.0
6,1,0.0
6,2,0.0
6,3,0.0
6,4,0.0
6,5,0.0
6,6,0.0
6,7,0.0
6,8,0.0
6,9,0.0
6,10,0.0
6,11,0.0
6,12,0.0
6,13,0.0
6,14,0.0
6,15,0.0
6,16,0.0
6,17,0.0
6,18,0.0
6,19,0.0
6,20,0.0
6,21,0.0
6,22,0.0
6,23,0.0
7,0,0.0
7,1,0.0
7,2,0.0
7,3,0.0
7,4,0.0
7,5,0.0
7,6,0.0
7,7,0.0
7,8,0.0
7,9,0.0
7,10,0.0
7,11,0.0
7,12,0.0
7,13,0.0
7,14,0.0
7,15,0.0
7,16,0.0
7,17,0.0
7,18,0.0
7,19,0.0
7,20,0.0
7,21,0.0
7,22,0.0
7,23,0.0
