day_of_week,hour_of_day,mean_pickup_count
2,0,0.7899239543726235
2,1,0.344106463878327
2,2,0.20627376425855512
2,3,0.19011406844106463
2,4,0.21482889733840305
2,5,0.5636882129277566
2,6,1.2081749049429658
2,7,2.447718631178707
2,8,3.17680608365019
2,9,3.5636882129277567
2,10,3.7728136882129277
2,11,4.11787072243346
2,12,4.224334600760456
2,13,4.328897338403042
2,14,4.73574144486692
2,15,4.909695817490494
2,16,4.800380228136882
2,17,4.903041825095057
2,18,4.75
2,19,3.8393536121673004
2,20,3.220532319391635
2,21,3.3155893536121672
2,22,2.4866920152091256
2,23,1.7157794676806084
